model,make,releasedate,printertype,devicetype
HP A3 E825 Series,HP,11/1/2017,Mono,Copier
HP A3 E778 Series,HP,11/1/2017,Color,Copier
HPPW P77740,HP,11/1/2017,Color,Printer
HPPW P77750,HP,11/1/2017,Color,Printer
HP A3 E876 Series,HP,11/1/2017,Color,Copier
HP A3 E725 Series,HP,11/1/2017,Mono,Copier
HPLJ 4345 & M4345 MFP,HP,11/1/2006,Mono,Printer
HPPW 452,HP,3/1/2016,Color,Printer
HPPW 477,HP,3/1/2016,Color,Printer
HPPW 552,HP,3/1/2016,Color,Printer
HPPW 577,HP,3/1/2016,Color,Printer
HPPW 556,HP,3/1/2016,Color,Printer
HPPW 586,HP,3/1/2016,Color,Printer
"HPLJ 1000, 1200, 1220",HP,5/1/2001,Mono,Printer
HPLJ 1010 / 1012 / 1015 / 1018 / 1020 / 1022,HP,5/1/2005,Mono,Printer
HPLJ 1100 /3200,HP,11/1/2000,Mono,Printer
HPLJ 1150,HP,9/1/2003,Mono,Printer
HPLJ 1160 / 1320,HP,10/1/2004,Mono,Printer
HPLJ 1300,HP,4/1/2003,Mono,Printer
HPLJ 1319 MFP,HP,10/1/2004,Mono,Printer
HPLJ 2100,HP,2/1/1999,Mono,Printer
HPLJ 2200,HP,2/1/2001,Mono,Printer
HPLJ 2300,HP,4/1/2003,Mono,Printer
"HPLJ 2420, 2430",HP,10/1/2004,Mono,Printer
HPLJ 3050 / 3052 / 3055 MFP,HP,4/1/2006,Mono,Printer
HPLJ 3300 MFP,HP,5/1/2002,Mono,Printer
"HPLJ 3SI, 4SI",HP,1/1/1999,Mono,Printer
"HPLJ 4, 4+, 5",HP,1/1/1999,Mono,Printer
"HPLJ 4000, 4050",HP,5/1/1999,Mono,Printer
HPLJ 4100,HP,5/1/2001,Mono,Printer
HPLJ 4100 MFP,HP,4/1/2002,Mono,Printer
"HPLJ 4100, 4101 MFP",HP,3/1/2002,Mono,Printer
HPLJ 4200,HP,11/1/2002,Mono,Printer
HPLJ 4240,HP,3/1/2005,Mono,Printer
HPLJ 4250,HP,10/1/2004,Mono,Printer
HPLJ 4300,HP,11/1/2002,Mono,Printer
HPLJ 4350,HP,10/1/2004,Mono,Printer
HPLJ 4V,HP,1/1/1999,Mono,Printer
HPLJ 5000 / 5100,HP,4/1/2003,Mono,Printer
HPLJ 5200,HP,4/1/2003,Mono,Printer
"HPLJ 5L, 6L, 3100",HP,2/1/2000,Mono,Printer
"HPLJ 5P, 6P",HP,2/1/2000,Mono,Printer
HPLJ 8000,HP,11/1/2000,Mono,Printer
HPLJ 8100,HP,11/1/2000,Mono,Printer
HPLJ 8150,HP,11/1/2000,Mono,Printer
HPLJ 9000,HP,5/1/2001,Mono,Printer
HPLJ 9000 MFP,HP,3/1/2002,Mono,Printer
HPLJ 9040/9050,HP,11/1/2004,Mono,Printer
HPLJ C1600 / 2600n / 2605,HP,4/1/2006,Color,Printer
