name,tonertype,printer,yield,manf
W9014MC,black,HP A3 E825 Series,69000,OEM
W9040MC,black,HP A3 E778 Series,34000,OEM
X4D18AC,black,HPPW P77740,20000,OEM
M0K28XC,black,HPPW P77750,22000,OEM
W9050MC,black,HP A3 E876 Series,54500,OEM
W9005MC,black,HP A3 E725 Series,48000,OEM
Q5945A,black,HPLJ 4345 & M4345 MFP,18000,OEM
F6T84AN,black,HPPW 452,10000,OEM
F6T84AN,black,HPPW 477,10000,OEM
L0R08A,black,HPPW 552,17000,OEM
L0R08A,black,HPPW 577,17000,OEM
L0R16A,black,HPPW 556,20000,OEM
L0R16A,black,HPPW 586,20000,OEM
C7115X,black,"HPLJ 1000, 1200, 1220",3500,OEM
Q2612A,black,HPLJ 1010 / 1012 / 1015 / 1018 / 1020 / 1022,2000,OEM
C4092A,black,HPLJ 1100 /3200,2500,OEM
Q2624a,black,HPLJ 1150,2500,OEM
Q5949X,black,HPLJ 1160 / 1320,6000,OEM
Q2613X,black,HPLJ 1300,4000,OEM
Q2612A,black,HPLJ 1319 MFP,2000,OEM
C4096A,black,HPLJ 2100,5000,OEM
C4096A,black,HPLJ 2200,5000,OEM
Q2610A,black,HPLJ 2300,6000,OEM
Q6511X,black,"HPLJ 2420, 2430",12000,OEM
Q2612A,black,HPLJ 3050 / 3052 / 3055 MFP,2000,OEM
C7115X,black,HPLJ 3300 MFP,3500,OEM
92291A,black,"HPLJ 3SI, 4SI",10250,OEM
92298a,black,"HPLJ 4, 4+, 5",6800,OEM
C4127X,black,"HPLJ 4000, 4050",10000,OEM
C8061X,black,HPLJ 4100,10000,OEM
C8061X,black,HPLJ 4100 MFP,10000,OEM
C8061X,black,"HPLJ 4100, 4101 MFP",10000,OEM
Q1338A,black,HPLJ 4200,12000,OEM
Q5942A,black,HPLJ 4240,10000,OEM
Q5942X,black,HPLJ 4250,20000,OEM
Q1339A,black,HPLJ 4300,18000,OEM
Q5942X,black,HPLJ 4350,20000,OEM
C3900A,black,HPLJ 4V,8100,OEM
C4129X,black,HPLJ 5000 / 5100,10000,OEM
Q7516A,black,HPLJ 5200,12000,OEM
0,black,"HPLJ 5L, 6L, 3100",0,OEM
C3903A,black,"HPLJ 5P, 6P",4000,OEM
0,black,HPLJ 8000,0,OEM
C4182X,black,HPLJ 8100,20000,OEM
C4182X,black,HPLJ 8150,20000,OEM
C8543X,black,HPLJ 9000,30000,OEM
C8543X,black,HPLJ 9000 MFP,30000,OEM
C8543X,black,HPLJ 9040/9050,30000,OEM
Q6000A,black,HPLJ C1600 / 2600n / 2605,2500,OEM
C9700A,black,HPLJ C2500,5000,OEM
Q3960A,black,HPLJ C2550,5000,OEM
q3960A,black,HPLJ C2800 MFP,5000,OEM
q3960a,black,HPLJ C2840,5000,OEM
