printer,c_bluetooth,c_ethernet,c_usb,c_walk_up,c_wifi,duty_cycle_max,duty_cycle_normal,f_copy,f_fax,f_print,f_scan,mfg_model_number,mfg_model_name,o_adf_capacity,o_borderless,o_duplex,o_duplex_scan,o_staple,o_touchscreen,papersize_max,papersize_supported,ppm_color,ppm_mono,print_technology,available
1042,,,,,,,,,,,,B7025/DM2,Xerox VersaLink B7025 - Desktop Version,,,,,,,,,,,,True
1042,,,,,,,,,,,,B7025/SM2,Xerox VersaLink B7025 - Stand & (2) 520 Sheet Trays,,,,,,,,,,,,True
863,,,,,,,,,,,,C5F93A,HP LaserJet Pro M402n,,,,,,,,,,,,True
863,,,,,,,,,,,,C5F94A,HP LaserJet Pro M402dn,,,,,,,,,,,,True
863,,,,,,,,,,,,C5F95A,HP LaserJet Pro M402dw,,,,,,,,,,,,True
865,,,,,,,,,,,,W1A52A,HP LaserJet Pro M404n,,,,,,,,,,,,True
865,,,,,,,,,,,,W1A53A,HP LaserJet Pro M404dn,,,,,,,,,,,,True
865,,,,,,,,,,,,W1A56A,HP LaserJet Pro M404dw,,,,,,,,,,,,True
867,,,,,,,,,,,,F6W14A,HP LaserJet Pro MFP M426fdn,,,,,,,,,,,,True
867,,,,,,,,,,,,F6W15A,HP LaserJet Pro MFP M426fdw,,,,,,,,,,,,True
868,,,,,,,,,,,,W1A30A,HP LaserJet Pro MFP M428fdw,,,,,,,,,,,,True
871,,,,,,,,,,,,CF388A,HP Color LaserJet Pro M452nw,,,,,,,,,,,,True
871,,,,,,,,,,,,CF389A,HP Color LaserJet Pro M452dn,,,,,,,,,,,,True
871,,,,,,,,,,,,CF394A,HP Color LaserJet Pro M452dw,,,,,,,,,,,,True
872,,,,,,,,,,,,W1Y45A,HP Color LaserJet Pro M454dw,,,,,,,,,,,,True
873,,,,,,,,,,,,CE738A,HP LaserJet Enterprise M4555h MFP,,,,,,,,,,,,True
876,,,,,,,,,,,,CF377A,HP Color LaserJet Pro MFP M477fnw,,,,,,,,,,,,True
876,,,,,,,,,,,,CF378A,HP Color LaserJet Pro MFP M477fdn,,,,,,,,,,,,True
876,,,,,,,,,,,,CF379A,HP Color LaserJet Pro MFP M477fdw,,,,,,,,,,,,True
877,,,,,,,,,,,,W1A79A,HP Color LaserJet Pro MFP M479fdn,,,,,,,,,,,,True
877,,,,,,,,,,,,W1A80A,HP Color LaserJet Pro MFP M479fdw,,,,,,,,,,,,True
878,,,,,,,,,,,,J8H61A,HP LaserJet Pro M501dn,,,,,,,,,,,,True
881,,,,,,,,,,,,F2A68A,HP LaserJet Enterprise M506n,,,,,,,,,,,,True
881,,,,,,,,,,,,F2A69A,HP LaserJet Enterprise M506dn,,,,,,,,,,,,True
881,,,,,,,,,,,,F2A70A,HP LaserJet Enterprise M506x,,,,,,,,,,,,True
885,,,,,,,,,,,,F2A76A,HP LaserJet Enterprise Flow MFP M527dn,,,,,,,,,,,,True
885,,,,,,,,,,,,F2A77A,HP LaserJet Enterprise Flow MFP M527f,,,,,,,,,,,,True
885,,,,,,,,,,,,F2A78A,HP LaserJet Enterprise Flow MFP M527z,,,,,,,,,,,,True
885,,,,,,,,,,,,F2A80A,HP LaserJet Enterprise Managed Flow MFP M527cm,,,,,,,,,,,,True
891,,,,,,,,,,,,CD646A,HP LaserJet Color Flow MFP M575C,,,,,,,,,,,,True
892,,,,,,,,,,,,B5L46A,HP Color LaserJet Enterprise MFP M577dn,,,,,,,,,,,,True
892,,,,,,,,,,,,B5L50A,HP Color LaserJet Enterprise Mangd Flow MFP M577cm,,,,,,,,,,,,True
